Row Labels, amount_spent,frequency ,max_date,Current_date,recency,frequency_score,monetary_score2
12346,0,2,1/18/2011,12/10/2011,326,0,0
12347,4310,182,10/31/2011,12/11/2011,41,8,9
12348,1797.24,31,9/25/2011,12/12/2011,78,4,7
12349,1757.55,73,11/21/2011,12/13/2011,22,6,7
12350,334.4,17,2/2/2011,12/14/2011,315,2,2
12352,1545.41,95,9/28/2011,12/15/2011,78,7,7
12353,89,4,5/19/2011,12/16/2011,211,0,0
12354,1079.4,58,4/21/2011,12/17/2011,240,5,6
12355,459.4,13,9/5/2011,12/18/2011,104,1,3
12356,2811.43,59,11/17/2011,12/19/2011,32,6,8
12357,6207.67,131,6/11/2011,12/20/2011,192,8,9
12358,1168.06,19,12/7/2011,12/21/2011,14,2,6
12359,6245.53,254,12/1/2011,12/22/2011,21,9,9
12360,2662.06,129,10/18/2011,12/23/2011,66,8,8
12361,189.9,10,2/25/2011,12/24/2011,302,1,1
12362,5154.58,274,11/28/2011,12/25/2011,27,9,9
12363,552,23,11/4/2011,12/26/2011,52,3,4
12364,1313.1,85,10/30/2011,12/27/2011,58,6,7
12365,320.69,23,2/21/2011,12/28/2011,310,3,2
12367,168.9,11,5/12/2011,12/29/2011,231,1,1
12370,3545.69,167,10/19/2011,12/30/2011,72,8,9
12371,1887.96,63,11/10/2011,12/31/2011,51,6,7
12372,1298.04,52,11/5/2011,1/1/2012,57,5,6
12373,364.6,14,1/2/2011,1/2/2012,365,1,3
12374,742.93,33,11/14/2011,1/3/2012,50,4,5
12375,455.42,18,11/29/2011,1/4/2012,36,2,3
12377,1628.12,77,1/28/2011,1/5/2012,342,6,7
12378,4008.62,219,2/8/2011,1/6/2012,332,9,9
12379,850.29,41,9/19/2011,1/7/2012,110,4,5
12380,2720.56,105,11/18/2011,1/8/2012,51,7,8
12381,1803.96,91,12/10/2011,1/9/2012,30,7,7
12383,1839.31,100,12/1/2011,1/10/2012,40,7,7
12384,566.16,30,11/11/2011,1/11/2012,61,4,4
12386,401.9,10,6/1/2011,1/12/2012,225,1,3
12388,2780.66,100,11/24/2011,1/13/2012,50,7,8
12390,549.84,32,9/21/2011,1/14/2012,115,4,4
12391,460.89,100,11/18/2011,1/15/2012,58,7,3
12393,1582.6,64,11/1/2011,1/16/2012,76,6,7
12394,1272.48,27,7/10/2011,1/17/2012,191,3,6
12395,2998.28,159,12/5/2011,1/18/2012,44,8,8
12397,2409.9,126,7/27/2011,1/19/2012,176,8,8
12398,1635.66,85,10/25/2011,1/20/2012,87,6,7
12399,1108.65,59,12/8/2011,1/21/2012,44,6,6
12401,84.3,5,9/2/2011,1/22/2012,142,0,0
12402,225.6,11,1/20/2011,1/23/2012,368,1,1
12403,409.7,6,10/21/2011,1/24/2012,95,0,3
12405,1710.39,54,7/14/2011,1/25/2012,195,5,7
12406,3280.75,108,11/17/2011,1/26/2012,70,7,8
12407,1708.12,77,10/21/2011,1/27/2012,98,6,7
12408,2842.57,113,8/4/2011,1/28/2012,177,7,8
12409,11056.93,114,10/6/2011,1/29/2012,115,7,9
12410,681.08,28,11/2/2011,1/30/2012,89,3,5
12412,1226.88,61,9/26/2011,1/31/2012,127,6,6
12413,694.15,40,12/1/2011,2/1/2012,62,4,5
12414,562.41,18,6/5/2011,2/2/2012,242,2,4
12415,123725.45,776,11/15/2011,2/3/2012,80,9,9
12417,3578.8,198,10/31/2011,2/4/2012,96,8,9
12418,668.58,34,8/19/2011,2/5/2012,170,4,5
12420,600.39,29,7/10/2011,2/6/2012,211,3,4
12421,806.27,46,11/24/2011,2/7/2012,75,5,5
12422,803.56,39,6/24/2011,2/8/2012,229,4,5
12423,1849.11,126,9/12/2011,2/9/2012,150,8,7
12424,1760.96,30,6/30/2011,2/10/2012,225,4,7
12425,777.2,36,9/22/2011,2/11/2012,142,4,5
12426,582.73,30,5/29/2011,2/12/2012,259,4,4
12427,708.37,35,11/28/2011,2/13/2012,77,4,5
12428,7877.2,300,11/14/2011,2/14/2012,92,9,9
12429,3750.4,97,11/30/2011,2/15/2012,77,7,9
12430,256.4,11,10/27/2011,2/16/2012,112,1,2
12431,6416.39,239,12/8/2011,2/17/2012,71,9,9
12432,5059.32,108,10/28/2011,2/18/2012,113,7,9
12433,13375.87,420,11/30/2011,2/19/2012,81,9,9
12434,765.19,54,9/16/2011,2/20/2012,157,5,5
12435,7829.89,36,9/21/2011,2/21/2012,153,4,9
12436,509.01,16,1/9/2011,2/22/2012,409,2,4
12437,4896.66,200,12/1/2011,2/23/2012,84,8,9
12438,2906.85,98,11/25/2011,2/24/2012,91,7,8
12441,173.55,11,8/12/2010,2/25/2012,562,1,1
12442,172.06,12,6/12/2011,2/26/2012,259,1,1
12444,5005.46,176,12/10/2011,2/27/2012,79,8,9
12445,133.4,4,11/17/2011,2/28/2012,103,0,0
12446,1002.31,57,10/13/2011,2/29/2012,139,5,6
12447,476.49,26,10/4/2011,3/1/2012,149,3,4
12448,449.45,22,10/26/2011,3/2/2012,128,3,3
12449,4067.29,191,11/17/2011,3/3/2012,107,8,9
12450,197.88,8,6/19/2011,3/4/2012,259,1,1
12451,8933.52,355,11/29/2011,3/5/2012,97,9,9
12452,428.57,23,11/23/2011,3/6/2012,104,3,3
12453,707.09,43,7/28/2011,3/7/2012,223,5,5
12454,0,30,10/17/2011,3/8/2012,143,4,0
12455,2466.86,90,9/27/2011,3/9/2012,164,7,8
12456,3153.89,129,10/26/2011,3/10/2012,136,8,8
12457,1917.78,67,12/10/2011,3/11/2012,92,6,7
12458,947.4,38,9/29/2011,3/12/2012,165,4,6
12461,826.88,35,8/7/2011,3/13/2012,219,4,5
12462,1124.01,72,11/21/2011,3/14/2012,114,6,6
12463,1303.63,88,12/4/2011,3/15/2012,102,7,6
12464,1212.05,29,11/29/2011,3/16/2012,108,3,6
12465,733.89,51,11/22/2011,3/17/2012,116,5,5
12468,724.04,40,7/19/2011,3/18/2012,243,4,5
12471,18740.92,531,12/10/2011,3/19/2012,100,9,9
12472,6229.48,391,10/19/2011,3/20/2012,153,9,9
12473,2848.23,179,10/17/2011,3/21/2012,156,8,8
12474,7116.47,457,12/7/2011,3/22/2012,106,9,9
12475,723.38,36,10/17/2011,3/23/2012,158,4,5
12476,6546.58,264,11/24/2011,3/24/2012,121,9,9
12477,13117.01,308,11/17/2011,3/25/2012,129,9,9
12478,680.99,36,6/12/2011,3/26/2012,288,4,5
12479,477.3,35,11/28/2011,3/27/2012,120,4,4
12480,3281.63,154,11/11/2011,3/28/2012,138,8,8
12481,5590.86,218,11/17/2011,3/29/2012,133,9,9
12483,2327.13,81,11/22/2011,3/30/2012,129,6,8
12484,4495.27,350,8/31/2011,3/31/2012,213,9,9
12488,1298.66,55,11/30/2011,4/1/2012,123,5,6
12489,334.93,15,7/1/2011,4/2/2012,276,2,2
12490,5417.93,245,11/22/2011,4/3/2012,133,9,9
12491,460.4,26,1/11/2011,4/4/2012,449,3,3
12492,263.21,20,8/26/2011,4/5/2012,223,2,2
12493,416.79,23,6/27/2011,4/6/2012,284,3,3
12494,1139.35,84,11/30/2011,4/7/2012,129,6,6
12497,1043.1,14,9/19/2011,4/8/2012,202,1,6
12498,403.7,23,11/18/2011,4/9/2012,143,3,3
12500,4206.27,65,11/16/2011,4/10/2012,146,6,9
12501,2089.68,160,7/1/2011,4/11/2012,285,8,8
12502,3723.87,147,6/5/2011,4/12/2012,312,8,9
12503,-1126,1,6/1/2011,4/13/2012,317,0,0
12504,114,15,11/21/2011,4/14/2012,145,2,0
12505,-4.5,1,11/2/2011,4/15/2012,165,0,0
12506,73.5,23,4/21/2011,4/16/2012,361,3,0
12507,1258.06,22,7/28/2011,4/17/2012,264,3,6
12508,398.27,69,11/13/2011,4/18/2012,157,6,3
12509,176.5,7,2/28/2011,4/19/2012,416,0,1
12510,982.57,33,7/20/2011,4/20/2012,275,4,6
12512,138.03,34,4/10/2011,4/21/2012,377,4,0
12513,586.79,36,9/16/2011,4/22/2012,219,4,4
12514,1017.68,51,3/17/2011,4/23/2012,403,5,6
12515,383.7,16,12/21/2010,4/24/2012,490,2,3
12516,1312.06,26,12/6/2011,4/25/2012,141,3,6
12517,2464.89,286,11/11/2011,4/26/2012,167,9,8
12518,2056.89,124,12/10/2011,4/27/2012,139,7,8
12519,340.84,18,7/10/2011,4/28/2012,293,2,3
12520,2582.51,155,11/3/2011,4/29/2012,178,8,8
12521,599.68,38,7/20/2011,4/30/2012,285,4,4
12522,192.72,12,10/31/2011,5/1/2012,183,1,1
12523,1745.57,110,12/1/2011,5/2/2012,153,7,7
12524,4485.72,144,11/30/2011,5/3/2012,155,8,9
12526,1316.66,71,10/17/2011,5/4/2012,200,6,7
12527,348.71,18,9/19/2011,5/5/2012,229,2,3
